instrument_token,tradingsymbol
17534466,NIFTY22JAN18200CE
17534722,NIFTY22JAN18200PE
17535490,NIFTY22JAN18300CE
17535746,NIFTY22JAN18300PE
17536514,NIFTY22JAN18400CE
17536770,NIFTY22JAN18400PE
17537538,NIFTY22JAN18500CE
17537794,NIFTY22JAN18500PE
17538562,NIFTY22JAN18600CE
17538818,NIFTY22JAN18600PE
17539586,NIFTY22JAN18700CE
17539842,NIFTY22JAN18700PE
17540610,NIFTY22JAN18800CE
17540866,NIFTY22JAN18800PE
17541634,NIFTY22JAN18900CE
17541890,NIFTY22JAN18900PE
17542658,NIFTY22JAN19000CE
17542914,NIFTY22JAN19000PE
17543682,NIFTY22JAN19100CE
17543938,NIFTY22JAN19100PE
17544706,NIFTY22JAN19200CE
17544962,NIFTY22JAN19200PE
17545730,NIFTY22JAN19300CE
17545986,NIFTY22JAN19300PE
9420034,NIFTY22JAN19400CE
9420290,NIFTY22JAN19400PE
10407938,NIFTY22JAN19500CE
10408194,NIFTY22JAN19500PE
9313282,NIFTY22JAN19600CE
9313538,NIFTY22JAN19600PE
14027522,NIFTY2220315100CE
14027778,NIFTY2220315100PE
14028546,NIFTY2220315200CE
14028802,NIFTY2220315200PE
14029570,NIFTY2220315300CE
14029826,NIFTY2220315300PE
11909634,NIFTY2220315400CE
11909890,NIFTY2220315400PE
11910658,NIFTY2220315500CE
11910914,NIFTY2220315500PE
11912450,NIFTY2220315600CE
11912706,NIFTY2220315600PE
8966402,NIFTY2220315700CE
8966658,NIFTY2220315700PE
8968450,NIFTY2220315800CE
8968706,NIFTY2220315800PE
11631874,NIFTY2220315900CE
11632130,NIFTY2220315900PE
11632898,NIFTY2220316000CE
11633410,NIFTY2220316000PE
11635458,NIFTY2220316100CE
11635714,NIFTY2220316100PE
11639298,NIFTY2220316200CE
11639554,NIFTY2220316200PE
11640322,NIFTY2220316300CE
11640578,NIFTY2220316300PE
11641602,NIFTY2220316400CE
11642114,NIFTY2220316400PE
11643138,NIFTY2220316500CE
11643394,NIFTY2220316500PE
11644674,NIFTY2220316600CE
11645442,NIFTY2220316600PE
11649026,NIFTY2220316700CE
11649282,NIFTY2220316700PE
11650050,NIFTY2220316800CE
11650306,NIFTY2220316800PE
11652354,NIFTY2220316900CE
11652610,NIFTY2220316900PE
11653378,NIFTY2220317000CE
11653634,NIFTY2220317000PE
11657218,NIFTY2220317100CE
11657474,NIFTY2220317100PE
11658498,NIFTY2220317200CE
11658754,NIFTY2220317200PE
11662594,NIFTY2220317300CE
11662850,NIFTY2220317300PE
11663618,NIFTY2220317400CE
11663874,NIFTY2220317400PE
11667970,NIFTY2220317500CE
11668482,NIFTY2220317500PE
11672578,NIFTY2220317600CE
11672834,NIFTY2220317600PE
11675138,NIFTY2220317700CE
11676418,NIFTY2220317700PE
11677186,NIFTY2220317800CE
11677954,NIFTY2220317800PE
11679490,NIFTY2220317900CE
11679746,NIFTY2220317900PE
11683842,NIFTY2220318000CE
11684098,NIFTY2220318000PE
11684866,NIFTY2220318100CE
11685122,NIFTY2220318100PE
11686402,NIFTY2220318200CE
11686658,NIFTY2220318200PE
11688194,NIFTY2220318300CE
11688450,NIFTY2220318300PE
11690754,NIFTY2220318400CE
11692290,NIFTY2220318400PE
11694082,NIFTY2220318500CE
11694338,NIFTY2220318500PE
11695362,NIFTY2220318600CE
11695618,NIFTY2220318600PE
11696642,NIFTY2220318700CE
11696898,NIFTY2220318700PE
11700994,NIFTY2220318800CE
11701250,NIFTY2220318800PE
11702018,NIFTY2220318900CE
11702274,NIFTY2220318900PE
12626946,NIFTY2220319000CE
12627970,NIFTY2220319000PE
9603074,NIFTY2220319100CE
9603330,NIFTY2220319100PE
10288130,NIFTY2220319200CE
10288386,NIFTY2220319200PE
10289154,NIFTY2220319300CE
10289410,NIFTY2220319300PE
9807362,NIFTY2220319400CE
9807618,NIFTY2220319400PE
11486722,NIFTY2220319500CE
11486978,NIFTY2220319500PE
10861058,NIFTY2220319600CE
10861314,NIFTY2220319600PE
